question_id,evidence_class,proposed_answer,proposed_status,review_state,final_answer,reviewer,reviewed_at,reviewer_note,evidence_reference,override_reason
A6.4,inferred_cloud,Yes,supported_no_issue,needs_evidence,Cannot determine,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,"No mapped Azure control-plane risk was observed, but this is only inferred cloud evidence and does not prove the full CE requirement across the estate.","CRIS-SME review ledger row A6.4: inferred_cloud/supported_no_issue; absence-of-risk signal only, no independent artifact attached.",
A7.2,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.2: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A7.3,inferred_cloud,Yes,supported_no_issue,needs_evidence,Cannot determine,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,"No mapped Azure control-plane risk was observed, but this is only inferred cloud evidence and does not prove the full CE requirement across the estate.","CRIS-SME review ledger row A7.3: inferred_cloud/supported_no_issue; absence-of-risk signal only, no independent artifact attached.",
A7.4,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.4: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A7.6,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.6: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A7.8,direct_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.8: supported_risk_found; evidence_class=direct_cloud; source finding details not included in CSV.,
A7.9,inferred_cloud,Yes,supported_no_issue,needs_evidence,Cannot determine,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,"No mapped Azure control-plane risk was observed, but this is only inferred cloud evidence and does not prove the full CE requirement across the estate.","CRIS-SME review ledger row A7.9: inferred_cloud/supported_no_issue; absence-of-risk signal only, no independent artifact attached.",
A7.10,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.10: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A7.11,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.11: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A7.14,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.14: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A7.16,direct_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.16: supported_risk_found; evidence_class=direct_cloud; source finding details not included in CSV.,
A7.17,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A7.17: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
